CodigoArticulo|Descripcion|Linea|CostoPromedio|CodigoCliente|NombreCliente|CodigoTienda|NombreTienda|Direccion|Region|Departamento|CodigoPlanta|NombrePlanta|Region|Departamento|cantidad|precio|costo|fecha
AB000056|360 PINK PERRY ELLIS DAMA PERFUME 100|Perfumeria|475|K487832|Jescie Bolton|T31|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|14|712.5|619.875|01/08/2017
AB000007|Falda corta|Ropa de Dama|60|G373823|Leilani Mercado|T3|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P6|Planta 6|Occidente|Quetzaltenango|9|90|81|01/12/2011
AB000026|Pelota de basketball|Deporte|169|W344252|Aaron Salazar|T7|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P3|Planta 3|Norte|El Progreso|25|253.5|167.31|01/09/2010
AB000046|212 VIP WILD PARTY CAROLINA HERRERA DAMA PERFUME 100|Perfumeria|980|Z499617|Wesley England|T19|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P3|Planta 3|Norte|El Progreso|19|1470|1190.7|01/01/2010
AB000045|212 VIP ROSE CAROLINA HERRERA DAMA PERFUME 80|Perfumeria|990|Y371742|Cassandra Hoover|T1|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P1|Planta 1|Norte|Guatemala|12|1485|1395.9|01/06/2006
AB000028|Bate de baseball|Deporte|180|C214716|Zoe Walter|T29|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P3|Planta 3|Norte|El Progreso|10|270|256.5|01/10/2016
AB000049|273 FRED HAYMAN ?S DAMA PERFUME 75|Perfumeria|431|J536193|Glenna Waters|T37|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P6|Planta 6|Occidente|Quetzaltenango|6|646.5|627.105|01/08/2005
AB000059|360 WHITE PERRY ELLIS DAMA PERFUME 100|Perfumeria|441|Q134515|Deirdre Mathis|T11|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|2|661.5|555.66|01/01/2008
|AMARIGE D`AMOUR GIVENCHY|Perfumeria|500|E767479|Brynn Higgins|T4|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P3|Planta 3|Norte|El Progreso|14|750|457.5|01/11/2007
AB000034|Minicomponente|Electrodomesticos|1263|T489744|Rafael Hale|T12|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P9|Planta 9|Norte|Izabal|15|1894.5|1723.995|01/07/2017
AB000064|5TH AVENUE NIGHTS ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|335|E216444|Gemma Barrett|T38|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P4|Planta 4|Sur|Zacapa|18|502.5|412.05|01/03/2012
AB000053|360 BLUE PERRY ELLIS DAMA PERFUME 100|Perfumeria|455|H455964|Bruno Burks|T14|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|18|682.5|505.05|01/03/2012
AB000016|Pantaloneta|Ropa de ni¤os|50|Z299451|Phelan Gross|T36|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P2|Planta 2|Norte|Escuintla|18|75|47.25|01/09/2016
AB000029|Estufa|Electrodomesticos|2399|E683772|Vivian Patrick|T23|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P4|Planta 4|Sur|Zacapa|9|3598.5|2303.04|01/03/2008
AB000008|Falda Larga|Ropa de Dama|70|R689765|Chelsea Sutton|T41|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P8|Planta 8|Sur|San Marcos|22|105|87.15|01/01/2009
AB000018|Playera|Ropa de ni¤os|60|T732299|Alfreda Hester|T1|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P7|Planta 7|Sur|Retalhuleu|24|90|49.5|01/04/2007
AB000082|"90210 WHITE TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|236|R482853|Adara Lawrence|T2|Tienda 22|Av. Petapa 46 Calle 45-70 Local 5|Occidente|Quetzaltenango|P5|Planta 5|Norte|Pet‚n|18|354|247.8|01/05/2017
AB000018|Playera|Ropa de ni¤os|60|H781414|September Allison|T32|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P10|Planta 1|Norte|Guatemala|21|90|58.5|01/05/2017
AB000026|Pelota de basketball|Deporte|169|U961913|Nita Mcdowell|T14|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P1|Planta 1|Norte|Guatemala|14|253.5|235.755|01/03/2008
AB000068|"90210 ENERGY TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100"|Perfumeria|261|S737426|Cameron Mccoy|T7|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|18|391.5|375.84|01/06/2017
AB000041|Laptop HP|Electronicos|5625|Y119131|Nadine Kelly|T34|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P9|Planta 9|Norte|Izabal|5|8437.5|5146.875|01/09/2007
