CodigoArticulo,LLAVE,VALUE
AB000001,Descripcion   ,Blusa para dama
AB000001,Linea         ,Ropa de Dama
AB000001,CostoPromedio ,50.0
AB000001,CodigoCliente ,K543942
AB000001,NombreCliente ,Kaye Howe
AB000001,CodigoTienda  ,T21
AB000001,NombreTienda  ,Tienda 42
AB000001,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000001,Region        ,Norte
AB000001,Departamento  ,Jalapa
AB000001,CodigoPlanta  ,P7
AB000001,NombrePlanta  ,Planta 7
AB000001,Region_1      ,Sur
AB000001,Departamento_1,Retalhuleu
AB000001,cantidad      ,2.0
AB000001,precio        ,75.0
AB000001,costo         ,62.25
AB000001,fecha         ,Sat May 01 00:00:00 CST 2010
AB000001,Descripcion   ,Blusa para dama
AB000001,Linea         ,Ropa de Dama
AB000001,CostoPromedio ,50.0
AB000001,CodigoCliente ,YC43217
AB000001,NombreCliente ,Non Quam Pellentesque Inc.
AB000001,CodigoTienda  ,T7
AB000001,NombreTienda  ,Tienda 43
AB000001,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000001,Region        ,Norte
AB000001,Departamento  ,Chiquimula
AB000001,CodigoPlanta  ,P2
AB000001,NombrePlanta  ,Planta 2
AB000001,Region_1      ,Norte
AB000001,Departamento_1,Escuintla
AB000001,cantidad      ,15.0
AB000001,precio        ,75.0
AB000001,costo         ,72.0
AB000001,fecha         ,Fri Mar 01 00:00:00 CST 2013
AB000001,Descripcion   ,Blusa para dama
AB000001,Linea         ,Ropa de Dama
AB000001,CostoPromedio ,50.0
AB000001,CodigoCliente ,KL32736
AB000001,NombreCliente ,Cum Sociis Natoque Consulting
AB000001,CodigoTienda  ,T33
AB000001,NombreTienda  ,Tienda 43
AB000001,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000001,Region        ,Norte
AB000001,Departamento  ,Chiquimula
AB000001,CodigoPlanta  ,P3
AB000001,NombrePlanta  ,Planta 3
AB000001,Region_1      ,Norte
AB000001,Departamento_1,El Progreso
AB000001,cantidad      ,20.0
AB000001,precio        ,75.0
AB000001,costo         ,52.5
AB000001,fecha         ,Sat Oct 01 00:00:00 CST 2011
AB000001,Descripcion   ,Blusa para dama
AB000001,Linea         ,Ropa de Dama
AB000001,CostoPromedio ,50.0
AB000001,CodigoCliente ,ML34358
AB000001,NombreCliente ,Ac Facilisis LLC
AB000001,CodigoTienda  ,T16
AB000001,NombreTienda  ,Tienda 5
AB000001,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000001,Region        ,Norte
AB000001,Departamento  ,Baja Verapaz
AB000001,CodigoPlanta  ,P3
AB000001,NombrePlanta  ,Planta 3
AB000001,Region_1      ,Norte
AB000001,Departamento_1,El Progreso
AB000001,cantidad      ,22.0
AB000001,precio        ,75.0
AB000001,costo         ,57.75
AB000001,fecha         ,Tue Jan 01 00:00:00 CST 2008
AB000001,Descripcion   ,Blusa para dama
AB000001,Linea         ,Ropa de Dama
AB000001,CostoPromedio ,50.0
AB000001,CodigoCliente ,GG16557
AB000001,NombreCliente ,Ut Aliquam Iaculis Associates
AB000001,CodigoTienda  ,T14
AB000001,NombreTienda  ,Tienda 5
AB000001,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000001,Region        ,Norte
AB000001,Departamento  ,Baja Verapaz
AB000001,CodigoPlanta  ,P6
AB000001,NombrePlanta  ,Planta 6
AB000001,Region_1      ,Occidente
AB000001,Departamento_1,Quetzaltenango
AB000001,cantidad      ,10.0
AB000001,precio        ,75.0
AB000001,costo         ,55.5
AB000001,fecha         ,Tue May 01 00:00:00 CST 2007
AB000002,Descripcion   ,Pantalon de vestir
AB000002,Linea         ,Ropa de Dama
AB000002,CostoPromedio ,120.0
AB000002,CodigoCliente ,SU45845
AB000002,NombreCliente ,Nec Ante Maecenas Ltd
AB000002,CodigoTienda  ,T28
AB000002,NombreTienda  ,Tienda 42
AB000002,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000002,Region        ,Norte
AB000002,Departamento  ,Jalapa
AB000002,CodigoPlanta  ,P1
AB000002,NombrePlanta  ,Planta 1
AB000002,Region_1      ,Norte
AB000002,Departamento_1,Guatemala
AB000002,cantidad      ,20.0
AB000002,precio        ,180.0
AB000002,costo         ,144.0
AB000002,fecha         ,Mon Apr 01 00:00:00 CST 2013
AB000003,Descripcion   ,Pantalon de mezclilla
AB000003,Linea         ,Ropa de Dama
AB000003,CostoPromedio ,120.0
AB000003,CodigoCliente ,G295694
AB000003,NombreCliente ,Zoe Holland
AB000003,CodigoTienda  ,T12
AB000003,NombreTienda  ,Tienda 5
AB000003,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000003,Region        ,Norte
AB000003,Departamento  ,Baja Verapaz
AB000003,CodigoPlanta  ,P8
AB000003,NombrePlanta  ,Planta 8
AB000003,Region_1      ,Sur
AB000003,Departamento_1,San Marcos
AB000003,cantidad      ,7.0
AB000003,precio        ,180.0
AB000003,costo         ,178.2
AB000003,fecha         ,Tue Aug 01 00:00:00 CST 2017
AB000003,Descripcion   ,Pantalon de mezclilla
AB000003,Linea         ,Ropa de Dama
AB000003,CostoPromedio ,120.0
AB000003,CodigoCliente ,H432191
AB000003,NombreCliente ,Ryder Mcmahon
AB000003,CodigoTienda  ,T29
AB000003,NombreTienda  ,Tienda 42
AB000003,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000003,Region        ,Norte
AB000003,Departamento  ,Jalapa
AB000003,CodigoPlanta  ,P4
AB000003,NombrePlanta  ,Planta 4
AB000003,Region_1      ,Sur
AB000003,Departamento_1,Zacapa
AB000003,cantidad      ,11.0
AB000003,precio        ,180.0
AB000003,costo         ,153.0
AB000003,fecha         ,Thu Jun 01 00:00:00 CST 2017
AB000004,Descripcion   ,Blazer
AB000004,Linea         ,Ropa de Dama
AB000004,CostoPromedio ,180.0
AB000004,CodigoCliente ,Z746623
AB000004,NombreCliente ,Gil Oneal
AB000004,CodigoTienda  ,T27
AB000004,NombreTienda  ,Tienda 42
AB000004,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000004,Region        ,Norte
AB000004,Departamento  ,Jalapa
AB000004,CodigoPlanta  ,P1
AB000004,NombrePlanta  ,Planta 1
AB000004,Region_1      ,Norte
AB000004,Departamento_1,Guatemala
AB000004,cantidad      ,10.0
AB000004,precio        ,270.0
AB000004,costo         ,199.8
AB000004,fecha         ,Sun Jul 01 00:00:00 CST 2007
AB000004,Descripcion   ,Blazer
AB000004,Linea         ,Ropa de Dama
AB000004,CostoPromedio ,180.0
AB000004,CodigoCliente ,LF82249
AB000004,NombreCliente ,Quam A LLP
AB000004,CodigoTienda  ,T26
AB000004,NombreTienda  ,Tienda 42
AB000004,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000004,Region        ,Norte
AB000004,Departamento  ,Jalapa
AB000004,CodigoPlanta  ,P8
AB000004,NombrePlanta  ,Planta 8
AB000004,Region_1      ,Sur
AB000004,Departamento_1,San Marcos
AB000004,cantidad      ,6.0
AB000004,precio        ,270.0
AB000004,costo         ,245.7
AB000004,fecha         ,Tue Nov 01 00:00:00 CST 2011
AB000004,Descripcion   ,Blazer
AB000004,Linea         ,Ropa de Dama
AB000004,CostoPromedio ,180.0
AB000004,CodigoCliente ,WV21923
AB000004,NombreCliente ,Molestie Incorporated
AB000004,CodigoTienda  ,T17
AB000004,NombreTienda  ,Tienda 5
AB000004,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000004,Region        ,Norte
AB000004,Departamento  ,Baja Verapaz
AB000004,CodigoPlanta  ,P8
AB000004,NombrePlanta  ,Planta 8
AB000004,Region_1      ,Sur
AB000004,Departamento_1,San Marcos
AB000004,cantidad      ,11.0
AB000004,precio        ,270.0
AB000004,costo         ,248.4
AB000004,fecha         ,Thu Apr 01 00:00:00 CST 2010
AB000004,Descripcion   ,Blazer
AB000004,Linea         ,Ropa de Dama
AB000004,CostoPromedio ,180.0
AB000004,CodigoCliente ,BD98856
AB000004,NombreCliente ,Bibendum Fermentum Foundation
AB000004,CodigoTienda  ,T16
AB000004,NombreTienda  ,Tienda 5
AB000004,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000004,Region        ,Norte
AB000004,Departamento  ,Baja Verapaz
AB000004,CodigoPlanta  ,P9
AB000004,NombrePlanta  ,Planta 9
AB000004,Region_1      ,Norte
AB000004,Departamento_1,Izabal
AB000004,cantidad      ,19.0
AB000004,precio        ,270.0
AB000004,costo         ,194.39999999999998
AB000004,fecha         ,Tue Dec 01 00:00:00 CST 2009
AB000005,Descripcion   ,Pijama
AB000005,Linea         ,Ropa de Dama
AB000005,CostoPromedio ,169.0
AB000005,CodigoCliente ,S922619
AB000005,NombreCliente ,Jocelyn Sutton
AB000005,CodigoTienda  ,T40
AB000005,NombreTienda  ,Tienda 43
AB000005,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000005,Region        ,Norte
AB000005,Departamento  ,Chiquimula
AB000005,CodigoPlanta  ,P10
AB000005,NombrePlanta  ,Planta 1
AB000005,Region_1      ,Norte
AB000005,Departamento_1,Guatemala
AB000005,cantidad      ,20.0
AB000005,precio        ,253.5
AB000005,costo         ,210.405
AB000005,fecha         ,Fri Mar 01 00:00:00 CST 2013
AB000005,Descripcion   ,Pijama
AB000005,Linea         ,Ropa de Dama
AB000005,CostoPromedio ,169.0
AB000005,CodigoCliente ,LC61454
AB000005,NombreCliente ,Id Magna Et LLC
AB000005,CodigoTienda  ,T21
AB000005,NombreTienda  ,Tienda 42
AB000005,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000005,Region        ,Norte
AB000005,Departamento  ,Jalapa
AB000005,CodigoPlanta  ,P9
AB000005,NombrePlanta  ,Planta 9
AB000005,Region_1      ,Norte
AB000005,Departamento_1,Izabal
AB000005,cantidad      ,14.0
AB000005,precio        ,253.5
AB000005,costo         ,185.055
AB000005,fecha         ,Tue Mar 01 00:00:00 CST 2016
AB000006,Descripcion   ,Vestidos
AB000006,Linea         ,Ropa de Dama
AB000006,CostoPromedio ,90.0
AB000006,CodigoCliente ,R564289
AB000006,NombreCliente ,Kadeem Holden
AB000006,CodigoTienda  ,T21
AB000006,NombreTienda  ,Tienda 42
AB000006,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre
AB000006,Region        ,Norte
AB000006,Departamento  ,Jalapa
AB000006,CodigoPlanta  ,P1
AB000006,NombrePlanta  ,Planta 1
AB000006,Region_1      ,Norte
AB000006,Departamento_1,Guatemala
AB000006,cantidad      ,23.0
AB000006,precio        ,135.0
AB000006,costo         ,82.35
AB000006,fecha         ,Thu May 01 00:00:00 CST 2014
