CodigoArticulo,LLAVE,VALUE
AB000001,Descripcion   ,Blusa para dama                                                         
AB000001,Linea         ,Ropa de Dama                                                            
AB000001,CostoPromedio ,50                                                                      
AB000001,CodigoCliente ,GR71829                                                                 
AB000001,NombreCliente ,Eget Ltd                                                                
AB000001,CodigoTienda  ,T3                                                                      
AB000001,NombreTienda  ,Tienda 43                                                               
AB000001,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre                               
AB000001,Region        ,Norte                                                                   
AB000001,Departamento  ,Huehuetenango                                                           
AB000001,CodigoPlanta  ,P3                                                                      
AB000001,NombrePlanta  ,Planta 3                                                                
AB000001,Region_1      ,Norte                                                                   
AB000001,Departamento_1,El Progreso                                                             
AB000001,cantidad      ,4                                                                       
AB000001,precio        ,75.0                                                                    
AB000001,costo         ,51.0                                                                    
AB000001,fecha         ,Wed Nov 01 00:00:00 CST 2006                                            
AB000002,Descripcion   ,Pantalon de vestir                                                      
AB000002,Linea         ,Ropa de Dama                                                            
AB000002,CostoPromedio ,120                                                                     
AB000002,CodigoCliente ,F298425                                                                 
AB000002,NombreCliente ,Pamela Richard                                                          
AB000002,CodigoTienda  ,T4                                                                      
AB000002,NombreTienda  ,Tienda 43                                                               
AB000002,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre                               
AB000002,Region        ,Norte                                                                   
AB000002,Departamento  ,Huehuetenango                                                           
AB000002,CodigoPlanta  ,P1                                                                      
AB000002,NombrePlanta  ,Planta 1                                                                
AB000002,Region_1      ,Norte                                                                   
AB000002,Departamento_1,Guatemala                                                               
AB000002,cantidad      ,14                                                                      
AB000002,precio        ,180.0                                                                   
AB000002,costo         ,95.4                                                                    
AB000002,fecha         ,Sat Jul 01 00:00:00 CST 2017                                            
AB000002,Descripcion   ,Pantalon de vestir                                                      
AB000002,Linea         ,Ropa de Dama                                                            
AB000002,CostoPromedio ,120                                                                     
AB000002,CodigoCliente ,BY33729                                                                 
AB000002,NombreCliente ,Lacus Limited                                                           
AB000002,CodigoTienda  ,T13                                                                     
AB000002,NombreTienda  ,Tienda 5                                                                
AB000002,Direccion     ,6a Av. 20-09 Col. Sn. Francisco                                         
AB000002,Region        ,Sur                                                                     
AB000002,Departamento  ,Sacatepéquez                                                            
AB000002,CodigoPlanta  ,P5                                                                      
AB000002,NombrePlanta  ,Planta 5                                                                
AB000002,Region_1      ,Norte                                                                   
AB000002,Departamento_1,Petén                                                                   
AB000002,cantidad      ,6                                                                       
AB000002,precio        ,180.0                                                                   
AB000002,costo         ,142.2                                                                   
AB000002,fecha         ,Fri Jul 01 00:00:00 CST 2016                                            
AB000005,Descripcion   ,Pijama                                                                  
AB000005,Linea         ,Ropa de Dama                                                            
AB000005,CostoPromedio ,169                                                                     
AB000005,CodigoCliente ,G631867                                                                 
AB000005,NombreCliente ,Vivian Sutton                                                           
AB000005,CodigoTienda  ,T34                                                                     
AB000005,NombreTienda  ,Tienda 43                                                               
AB000005,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre                               
AB000005,Region        ,Norte                                                                   
AB000005,Departamento  ,Huehuetenango                                                           
AB000005,CodigoPlanta  ,P4                                                                      
AB000005,NombrePlanta  ,Planta 4                                                                
AB000005,Region_1      ,Sur                                                                     
AB000005,Departamento_1,Zacapa                                                                  
AB000005,cantidad      ,24                                                                      
AB000005,precio        ,253.5                                                                   
AB000005,costo         ,172.38                                                                  
AB000005,fecha         ,Sat Jan 01 00:00:00 CST 2011                                            
AB000005,Descripcion   ,Pijama                                                                  
AB000005,Linea         ,Ropa de Dama                                                            
AB000005,CostoPromedio ,169                                                                     
AB000005,CodigoCliente ,LR83328                                                                 
AB000005,NombreCliente ,Nec Leo Consulting                                                      
AB000005,CodigoTienda  ,T20                                                                     
AB000005,NombreTienda  ,Tienda 42                                                               
AB000005,Direccion     ,Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul                     
AB000005,Region        ,Sur                                                                     
AB000005,Departamento  ,Sacatepéquez                                                            
AB000005,CodigoPlanta  ,P5                                                                      
AB000005,NombrePlanta  ,Planta 5                                                                
AB000005,Region_1      ,Norte                                                                   
AB000005,Departamento_1,Petén                                                                   
AB000005,cantidad      ,12                                                                      
AB000005,precio        ,253.5                                                                   
AB000005,costo         ,129.285                                                                 
AB000005,fecha         ,Sat Jan 01 00:00:00 CST 2011                                            
AB000006,Descripcion   ,Vestidos                                                                
AB000006,Linea         ,Ropa de Dama                                                            
AB000006,CostoPromedio ,90                                                                      
AB000006,CodigoCliente ,T359581                                                                 
AB000006,NombreCliente ,Cecilia Stevenson                                                       
AB000006,CodigoTienda  ,T43                                                                     
AB000006,NombreTienda  ,Tienda 43                                                               
AB000006,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre                               
AB000006,Region        ,Norte                                                                   
AB000006,Departamento  ,Huehuetenango                                                           
AB000006,CodigoPlanta  ,P6                                                                      
AB000006,NombrePlanta  ,Planta 6                                                                
AB000006,Region_1      ,Occidente                                                               
AB000006,Departamento_1,Quetzaltenango                                                          
AB000006,cantidad      ,23                                                                      
AB000006,precio        ,135.0                                                                   
AB000006,costo         ,121.5                                                                   
AB000006,fecha         ,Tue Jun 01 00:00:00 CST 2010                                            
AB000006,Descripcion   ,Vestidos                                                                
AB000006,Linea         ,Ropa de Dama                                                            
AB000006,CostoPromedio ,90                                                                      
AB000006,CodigoCliente ,S922619                                                                 
AB000006,NombreCliente ,Jocelyn Sutton                                                          
AB000006,CodigoTienda  ,T33                                                                     
AB000006,NombreTienda  ,Tienda 43                                                               
AB000006,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre                               
AB000006,Region        ,Norte                                                                   
AB000006,Departamento  ,Huehuetenango                                                           
AB000006,CodigoPlanta  ,P4                                                                      
AB000006,NombrePlanta  ,Planta 4                                                                
AB000006,Region_1      ,Sur                                                                     
AB000006,Departamento_1,Zacapa                                                                  
AB000006,cantidad      ,11                                                                      
AB000006,precio        ,135.0                                                                   
AB000006,costo         ,120.15                                                                  
AB000006,fecha         ,Fri Feb 01 00:00:00 CST 2008                                            
AB000006,Descripcion   ,Vestidos                                                                
AB000006,Linea         ,Ropa de Dama                                                            
AB000006,CostoPromedio ,90                                                                      
AB000006,CodigoCliente ,SN68257                                                                 
AB000006,NombreCliente ,Eu Foundation                                                           
AB000006,CodigoTienda  ,T43                                                                     
AB000006,NombreTienda  ,Tienda 43                                                               
AB000006,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre                               
AB000006,Region        ,Norte                                                                   
AB000006,Departamento  ,Huehuetenango                                                           
AB000006,CodigoPlanta  ,P9                                                                      
AB000006,NombrePlanta  ,Planta 9                                                                
AB000006,Region_1      ,Norte                                                                   
AB000006,Departamento_1,Izabal                                                                  
AB000006,cantidad      ,11                                                                      
AB000006,precio        ,135.0                                                                   
AB000006,costo         ,94.5                                                                    
AB000006,fecha         ,Wed Jun 01 00:00:00 CST 2005                                            
AB000006,Descripcion   ,Vestidos                                                                
AB000006,Linea         ,Ropa de Dama                                                            
AB000006,CostoPromedio ,90                                                                      
AB000006,CodigoCliente ,MH98481                                                                 
AB000006,NombreCliente ,Luctus Et Ultrices Industries                                           
AB000006,CodigoTienda  ,T3                                                                      
AB000006,NombreTienda  ,Tienda 43                                                               
AB000006,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre                               
AB000006,Region        ,Norte                                                                   
AB000006,Departamento  ,Huehuetenango                                                           
AB000006,CodigoPlanta  ,P6                                                                      
AB000006,NombrePlanta  ,Planta 6                                                                
AB000006,Region_1      ,Occidente                                                               
AB000006,Departamento_1,Quetzaltenango                                                          
AB000006,cantidad      ,9                                                                       
AB000006,precio        ,135.0                                                                   
AB000006,costo         ,67.5                                                                    
AB000006,fecha         ,Wed Sep 01 00:00:00 CST 2010                                            
AB000006,Descripcion   ,Vestidos                                                                
AB000006,Linea         ,Ropa de Dama                                                            
AB000006,CostoPromedio ,90                                                                      
AB000006,CodigoCliente ,GB95125                                                                 
AB000006,NombreCliente ,Dolor Sit Amet Institute                                                
AB000006,CodigoTienda  ,T27                                                                     
AB000006,NombreTienda  ,Tienda 42                                                               
AB000006,Direccion     ,Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul                     
AB000006,Region        ,Sur                                                                     
AB000006,Departamento  ,Sacatepéquez                                                            
AB000006,CodigoPlanta  ,P2                                                                      
AB000006,NombrePlanta  ,Planta 2                                                                
AB000006,Region_1      ,Norte                                                                   
AB000006,Departamento_1,Escuintla                                                               
AB000006,cantidad      ,10                                                                      
AB000006,precio        ,135.0                                                                   
AB000006,costo         ,70.2                                                                    
AB000006,fecha         ,Tue Jun 01 00:00:00 CST 2010                                            
AB000007,Descripcion   ,Falda corta                                                             
AB000007,Linea         ,Ropa de Dama                                                            
AB000007,CostoPromedio ,60                                                                      
AB000007,CodigoCliente ,G373823                                                                 
AB000007,NombreCliente ,Leilani Mercado                                                         
AB000007,CodigoTienda  ,T3                                                                      
AB000007,NombreTienda  ,Tienda 43                                                               
AB000007,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre                               
AB000007,Region        ,Norte                                                                   
AB000007,Departamento  ,Huehuetenango                                                           
AB000007,CodigoPlanta  ,P6                                                                      
AB000007,NombrePlanta  ,Planta 6                                                                
AB000007,Region_1      ,Occidente                                                               
AB000007,Departamento_1,Quetzaltenango                                                          
AB000007,cantidad      ,9                                                                       
AB000007,precio        ,90.0                                                                    
AB000007,costo         ,81.0                                                                    
AB000007,fecha         ,Thu Dec 01 00:00:00 CST 2011                                            
AB000008,Descripcion   ,Falda Larga                                                             
AB000008,Linea         ,Ropa de Dama                                                            
AB000008,CostoPromedio ,70                                                                      
AB000008,CodigoCliente ,R689765                                                                 
AB000008,NombreCliente ,Chelsea Sutton                                                          
AB000008,CodigoTienda  ,T41                                                                     
AB000008,NombreTienda  ,Tienda 43                                                               
AB000008,Direccion     ,5 Calle 19-01 Calz. Jose Milla y Vidaurre                               
AB000008,Region        ,Norte                                                                   
AB000008,Departamento  ,Huehuetenango                                                           
AB000008,CodigoPlanta  ,P8                                                                      
AB000008,NombrePlanta  ,Planta 8                                                                
AB000008,Region_1      ,Sur                                                                     
AB000008,Departamento_1,San Marcos                                                              
AB000008,cantidad      ,22                                                                      
AB000008,precio        ,105.0                                                                   
AB000008,costo         ,87.15                                                                   
AB000008,fecha         ,Thu Jan 01 00:00:00 CST 2009                                            
AB000008,Descripcion   ,Falda Larga                                                             
AB000008,Linea         ,Ropa de Dama                                                            
AB000008,CostoPromedio ,70                                                                      
AB000008,CodigoCliente ,T249684                                                                 
AB000008,NombreCliente ,Channing Sawyer                                                         
AB000008,CodigoTienda  ,T15                                                                     
AB000008,NombreTienda  ,Tienda 5                                                                
AB000008,Direccion     ,6a Av. 20-09 Col. Sn. Francisco                                         
